context.trace_id,input,reference
1fc96a5637b33a6b350a078de7ae619d,How do I use the SDK to upload a ranking model?,"
**Check out our** **How to Monitor Ranking Model's** **blog and follow along with our various** **Colab** **examples here.**&#x20;

"
1fc96a5637b33a6b350a078de7ae619d,How do I use the SDK to upload a ranking model?,"
**Use the 'arize-demo-hotel-ranking' model, available in all free accounts, to follow along.**&#x20;

"
1fc96a5637b33a6b350a078de7ae619d,How do I use the SDK to upload a ranking model?,"
Ranking models are used by search engines to display query results ranked in the order of the highest relevance. These predictions seek to maximize user actions that are then used to evaluate model performance.&#x20;

The complexity within a ranking model makes failures challenging to pinpoint as a model’s dimensions expand per recommendation. Notable challenges within ranking models include upstream data quality issues, poor-performing segments, the cold start problem, and more. &#x20;



"
1fc96a5637b33a6b350a078de7ae619d,How do I use the SDK to upload a ranking model?,"
If you upload multiple of the same ranks for the same prediction group id, you may run into problems visualizing your data within the platform. Revise your data to represent unique ranks for a given prediction group and re-upload your data. &#x20;

"
0ce4bf2098ba13483a58a630e32650e6,What drift metrics are supported in Arize?,"
Arize calculates drift metrics such as Population Stability Index, KL Divergence, and Wasserstein Distance. Arize computes drift by measuring distribution changes between the model’s production values and a baseline (reference dataset). Users can configure a baseline to be any time window of a:

1. Pre-production dataset (training, test, validation) or
2. Fixed or moving time period from production (e.g. last 30 days, last 60 days).&#x20;

Baselines are saved in Arize so that users can compare several versions and/or environments against each other across moving or fixed time windows. For more details on baselines, visit here.

"
0ce4bf2098ba13483a58a630e32650e6,What drift metrics are supported in Arize?,"
Drift monitors measure distribution drift, which is the difference between two statistical distributions.&#x20;

Arize offers various distributional drift metrics to choose from when setting up a monitor. Each metric is tailored to a specific use case; refer to this guide to help choose the appropriate metric for various ML use cases.

"
0ce4bf2098ba13483a58a630e32650e6,What drift metrics are supported in Arize?,"
Arize supports feature quality metrics including feature drift, data quality (ex: cardinality, percent empty, type mismatch, out of range, etc.) and feature importance metrics. Additionally, users can compute performance metrics for their model filtered by feature/value combinations (slices). &#x20;

"
0ce4bf2098ba13483a58a630e32650e6,What drift metrics are supported in Arize?,"
Arize supports a comprehensive list of model performance metrics for both numeric and categorical model types. These metrics are available on dashboards as well as monitors.&#x20;

In addition to the out-of-the-gate metrics listed below, Arize also supports model data metrics, custom evaluation metrics, and user defined business impact metrics. Learn more about statistical widgets here and user-defined business impact formulas here.

AccuracyMAEPrecisionSensitivityAUCMAPER-SquaredSpecificityF1MSERecallTP/TN/FP/FNLog LossPR-AUCRMSECustom Metrics

In addition to performance metrics, we also support data metrics that allow you to count, average, view percentiles, or calculate percent/count for all features, actuals, and/or predictions. All metrics can be calculated in aggregate, as well as on particular cohorts using applied filters.

"
2a19a75a30868c5272c40fd446e29db6,Does Arize support batch models?,"
Arize supports many model types - check out our various Model Types to learn more.&#x20;

"
2a19a75a30868c5272c40fd446e29db6,Does Arize support batch models?,"
Arize natively supports binary classification, multi-class classification, regression, ranking, NLP, and CV model types. Your model type informs the **data ingestion format** and **the performance metrics** that can be utilized in the platform.&#x20;

"
